Query	Statistic	P-value	FDR (BH)	Event_SD	Event_TD
NHS	-0.135290006	0.071801295	0.210746445	178	178
NICN1	0.120726204	0.108445952	0.276124403	178	178
NID1	-0.009303894	0.901814664	0.949900558	178	178
NID2	-0.000251083	0.997346031	0.999063851	178	178
NIF3L1	-0.079115719	0.293835256	0.512055905	178	178
NINJ1	0.098687294	0.190000328	0.393368913	178	178
NINJ2	-0.082454144	0.27387188	0.49067161	178	178
TP53INP1	0.346654907	2.48E-06	6.14E-05	178	178
NIN	0.046731214	0.535640916	0.72488013	178	178
NIP7	-0.187730337	0.012095685	0.06027163	178	178
NIPA1	-0.003547078	0.962520668	0.981784983	178	178
NIPA2	-0.048912257	0.516751105	0.712072219	178	178
NIPAL1	0.135843239	0.070639132	0.208480328	178	177
NIPAL2	0.12645104	0.092568459	0.248905182	178	178
NIPAL3	0.148045382	0.048593946	0.161794356	178	178
NIPAL4	-0.127765265	0.089212898	0.243291575	178	173
NIPBL	0.070846841	0.347013285	0.565805286	178	178
NIPSNAP1	-0.061682351	0.413399128	0.627797738	178	178
NIPSNAP3A	0.130342824	0.082899936	0.231478224	178	178
NIPSNAP3B	0.097142444	0.196867522	0.401822707	178	178
NISCH	0.071910751	0.339806289	0.558510312	178	178
NIT1	0.005307848	0.943895162	0.97231188	178	178
NIT2	-0.046254582	0.539814423	0.727764257	178	178
NKAIN1	0.03776883	0.616703635	0.783066697	178	176
NKAIN2	0.028032009	0.71031597	0.843641539	178	167
NKAIN3	-0.220267452	0.003132743	0.022468937	178	77
NKAIN4	-0.05564735	0.46065449	0.669457767	178	171
NKAPL	0.210388343	0.004820737	0.031040461	178	176
NKAP	-0.098957527	0.1887841	0.391525125	178	178
NKD1	-0.001756516	0.981427306	0.99135388	178	177
NKD2	-0.12160925	0.105868269	0.272225002	178	178
NKG7	0.199234303	0.007672006	0.04333906	178	178
NKIRAS1	0.154529757	0.039530083	0.140764968	178	178
NKIRAS2	-0.162604922	0.030113855	0.115918117	178	178
NKPD1	-0.110208383	0.14306588	0.329630096	178	177
NKRF	-0.183063055	0.014450554	0.068672256	178	178
NKTR	0.031403452	0.677318398	0.823505785	178	178
NKX1-2	-0.0493317	0.513157986	0.709097556	178	14
NKX2-1	-0.089407268	0.235300109	0.448076305	178	79
NKX2-2	0.232076381	0.001826136	0.014854077	178	173
RGS13	0.345042974	2.40E-06	5.94E-05	178	174
NKX2-4	-0.101660152	0.176932321	0.376960791	178	4
NKX2-5	-0.232306607	0.001806536	0.014755245	178	130
NKX2-6	-0.115591085	0.124423829	0.300924267	178	20
NKX2-8	0.008260032	0.912863005	0.955908554	178	93
NKX3-1	-0.061420597	0.415025043	0.629638268	178	178
NKX3-2	-0.185417295	0.013216869	0.064400928	178	177
FHL5	0.345723106	2.28E-06	5.66E-05	178	178
NKX6-2	0.243310548	0.001065558	0.009920128	178	119
NKX6-3	0.061796701	0.412532134	0.626914418	178	88
NLE1	0.014595814	0.846668574	0.922323953	178	178
KDELR2	-0.345796515	2.27E-06	5.64E-05	178	178
NLGN2	-0.131319563	0.080593531	0.226979825	178	178
NLGN3	0.128002221	0.088612165	0.242253139	178	178
NLGN4X	-0.035803768	0.634855257	0.795238049	178	178
NLGN4Y	0.012921612	0.864075645	0.931444226	178	137
NLK	0.123926514	0.099332829	0.261379746	178	178
NLN	0.062744134	0.405389925	0.620447398	178	178
NLRC3	0.171501252	0.022185621	0.093359965	178	178
BCL2L10	0.346198348	2.21E-06	5.49E-05	178	171
NLRC5	-0.056535121	0.453154295	0.663851906	178	178
NLRP10	-0.03228863	0.668752567	0.818311464	178	38
CDO1	0.348391208	2.20E-06	5.47E-05	178	178
NLRP12	0.229436601	0.002065125	0.016353936	178	177
NLRP13	-0.015448763	0.837828163	0.917601999	178	4
NLRP14	0.160129584	0.032749496	0.122742331	178	134
NLRP1	-0.046004539	0.541657464	0.729490205	178	178
NLRP2	0.185880096	0.012985515	0.06354258	178	176
NLRP3	0.200820488	0.007276595	0.041623269	178	178
NLRP4	0.095078458	0.206794157	0.41426737	178	86
NLRP5	0.049600963	0.510858196	0.707147437	178	13
NLRP6	0.074364919	0.323873821	0.542781671	178	173
NLRP7	0.142129412	0.058424091	0.18317393	178	157
NLRP8	-0.004982278	0.947374658	0.974327066	178	7
TBC1D4	0.348491216	2.18E-06	5.44E-05	178	178
NLRX1	0.191295402	0.010531098	0.054599355	178	178
NMBR	0.053390051	0.479070254	0.683349963	178	96
NMB	-0.062027025	0.410427232	0.625156993	178	178
NMD3	0.008709178	0.908145131	0.953327882	178	178
NME1-NME2	0.015690555	0.835325734	0.916213265	178	178
NME1	-0.16215391	0.030580146	0.117090258	178	178
NME2P1	-0.041321206	0.583599702	0.759467457	178	178
NME2	-0.026292425	0.727559645	0.854915636	178	178
NME3	-0.074667461	0.321903752	0.540469914	178	178
NME4	-0.114056548	0.129535879	0.308546162	178	178
DTNA	0.348844434	2.13E-06	5.31E-05	178	178
NME6	0.072473636	0.336365354	0.555245723	178	178
NME7	-0.044024625	0.559552278	0.742639556	178	178
NMI	-0.038490182	0.609985427	0.778083591	178	178
NMNAT1	0.153746801	0.040463537	0.142574122	178	178
NMNAT2	-0.010774218	0.886393823	0.942388864	178	178
NMNAT3	0.178467735	0.01725573	0.078081192	178	178
NMRAL1	-0.005550419	0.941335123	0.970791735	178	178
NMT1	-0.058221512	0.44014143	0.652963961	178	178
TRIP13	-0.348914652	2.12E-06	5.29E-05	178	178
CCR2	0.34950193	2.03E-06	5.08E-05	178	178
NMUR2	0.03819858	0.612697346	0.780234243	178	165
NMU	-0.064497286	0.392368663	0.608907389	178	169
NNAT	-0.072442706	0.336238808	0.555175868	178	178
NNMT	-0.023473062	0.755795905	0.870419815	178	178
NNT	0.140950008	0.060619287	0.18775767	178	178
NOB1	0.053910484	0.474789381	0.680660062	178	178
NOC2L	-0.170504459	0.022877458	0.095378211	178	178
NOC3L	-0.054049827	0.473280757	0.679838274	178	178
NOC4L	-0.06725508	0.372051254	0.589498518	178	178
NOD1	-0.090751873	0.228304308	0.439837235	178	178
NOD2	0.003848163	0.959311546	0.980180153	178	178
NODAL	-0.128906059	0.086369648	0.237964806	178	170
NOG	-0.14226614	0.058179682	0.182593257	178	177
NOL10	0.081528585	0.27931218	0.496683368	178	178
NOL11	-0.039457278	0.60102948	0.77178758	178	178
NOL12	-0.136156101	0.069955363	0.20708664	178	178
NOL3	-0.088354546	0.24062928	0.454113245	178	178
LOC100129550	0.347436187	2.02E-06	5.06E-05	178	178
NOL6	-0.17067362	0.022740515	0.095012951	178	178
NOL7	-0.028263852	0.708028653	0.842240185	178	178
NOL8	-0.01091466	0.885028195	0.941560424	178	178
NOL9	0.09415402	0.211262924	0.42001941	178	178
NOLC1	-0.190145415	0.011015076	0.056340434	178	178
NOM1	0.017480081	0.816858019	0.906733495	178	178
NOMO1	0.212046255	0.004490127	0.029283567	178	178
NOMO2	0.148593138	0.047832922	0.160150388	178	178
NOMO3	0.203363233	0.006558917	0.038703678	178	178
NONO	0.054612665	0.469046672	0.676360308	178	178
NOP10	-0.105448502	0.16125729	0.355986795	178	178
NOP14	-0.05190504	0.491399398	0.691941302	178	178
NOP16	-0.193775275	0.009643956	0.051153323	178	178
NOP2	-0.108983764	0.14747301	0.336001291	178	178
NOP56	-0.133369719	0.075935032	0.218138428	178	178
NOP58	-0.222113585	0.002941523	0.021394288	178	178
NOS1AP	-0.098872362	0.188982647	0.391793504	178	178
CCDC8	0.347629634	1.99E-06	4.99E-05	178	178
NOS2	-0.078824039	0.295319117	0.513879538	178	178
NOS3	0.123057167	0.101715834	0.265627165	178	178
NOSIP	0.056992663	0.449868442	0.660702508	178	178
C8orf34	0.347807307	1.96E-06	4.94E-05	178	178
NOTCH1	0.152047736	0.042757259	0.148200182	178	178
NOTCH2NL	0.076923895	0.307141384	0.526474837	178	178
NOTCH2	0.229007723	0.00215507	0.016923893	178	178
NOTCH3	0.005112088	0.94596158	0.973437847	178	178
NOTCH4	0.143569355	0.055952595	0.178308883	178	178
NOTO	0.017423757	0.817437802	0.907070305	178	7
NOTUM	-0.104070627	0.166684234	0.363288654	178	178
NOVA1	0.086122462	0.252753704	0.467185619	178	178
NOVA2	0.097453157	0.195627536	0.400376497	178	178
NOV	0.115375736	0.125055887	0.301567696	178	178
NOX1	-0.044340368	0.556736594	0.740542809	178	172
NOX4	-0.138493513	0.065239908	0.197648833	178	178
NOX5	0.089430743	0.235176693	0.447986188	178	171
NOXA1	0.016315071	0.828870019	0.913147014	178	178
NOXO1	-0.225081894	0.002575552	0.019396602	178	178
NPAS1	-0.109051854	0.147219113	0.335613412	178	178
NPAS2	-0.097338307	0.196157308	0.400941192	178	178
NPAS3	0.058903385	0.434430627	0.648001384	178	178
NPAS4	-0.101893133	0.175936966	0.375619269	178	167
NPAT	0.009865639	0.895918387	0.947171203	178	178
NPBWR1	0.097617712	0.194870305	0.399432028	178	106
NPBWR2	-0.067363261	0.371631493	0.589258371	178	5
NPB	-0.058907265	0.434765743	0.648247459	178	155
NPC1L1	-0.032584393	0.665899913	0.816437554	178	178
NPC1	-0.041053101	0.586045549	0.761297115	178	178
NPC2	0.163092106	0.029717238	0.114891773	178	178
NPDC1	-0.133138921	0.076448331	0.219148928	178	178
NPEPL1	-0.000334068	0.996468876	0.998488677	178	178
NPEPPS	0.157367457	0.035919181	0.131151419	178	178
NPFFR1	-0.050862282	0.500156691	0.698996283	178	124
C6orf155	0.350323269	1.92E-06	4.82E-05	178	177
NPFF	0.022062305	0.769837969	0.879827534	178	178
NPHP1	-0.045202374	0.549084577	0.734862837	178	178
NPHP3	0.049271833	0.513670044	0.709606781	178	178
NPHP4	-0.104710092	0.16422803	0.359747985	178	178
XBP1	0.350427532	1.90E-06	4.79E-05	178	178
NPHS2	-0.099226472	0.187579333	0.390564782	178	69
NPIPL3	-0.122678415	0.102779541	0.266961539	178	178
NPIP	0.065676237	0.383400696	0.599839019	178	178
NPLOC4	-0.140991725	0.060490718	0.187446959	178	178
NPL	0.050400615	0.503697676	0.701960522	178	178
NPM1	-0.005159967	0.945500666	0.97326029	178	178
ZNF503	0.350580735	1.88E-06	4.75E-05	178	178
NPM3	-0.041310567	0.58369667	0.759493186	178	178
NPNT	0.245206819	0.001001663	0.009467915	178	178
NPPA	0.011442008	0.879514353	0.939184797	178	161
SLC25A34	0.350757344	1.86E-06	4.69E-05	178	178
NPPC	-0.022158523	0.769075176	0.879108187	178	81
CLDN6	0.348627328	1.85E-06	4.68E-05	178	171
NPR2	-0.090999475	0.227032254	0.438797359	178	178
NPR3	-0.08393298	0.265329382	0.481606682	178	176
NPRL2	-0.027746806	0.713133263	0.845502412	178	178
NPRL3	-0.085254312	0.257581726	0.472469822	178	178
NPSR1	0.01342045	0.858881872	0.928829465	178	137
NPS	-0.032501445	0.666699477	0.817063245	178	10
NPTN	-0.056511715	0.453341575	0.664027875	178	178
NPTX1	0.184648088	0.013609395	0.065717258	178	178
CBFA2T3	0.350880758	1.84E-06	4.66E-05	178	178
NAP1L2	0.35097651	1.83E-06	4.64E-05	178	178
NPW	0.066744081	0.376053615	0.593533005	178	162
CEACAM4	0.351095668	1.81E-06	4.60E-05	178	177
NPY2R	-0.079864087	0.289278073	0.507648618	178	82
GSTA3	0.349011969	1.80E-06	4.58E-05	178	24
NPY6R	0.048161788	0.523212019	0.716332788	178	140
MEIS2	0.349191454	1.78E-06	4.52E-05	178	178
NQO1	-0.215385417	0.003951358	0.026712534	178	178
NQO2	0.124380671	0.098067067	0.258936866	178	178
NR0B1	0.228547778	0.002151782	0.016914267	178	166
SGK1	0.349240394	1.77E-06	4.51E-05	178	178
NR1D1	-0.184374564	0.013852881	0.066600261	178	178
NR1D2	0.039474258	0.600543761	0.771464453	178	178
NR1H2	-0.097481987	0.195494718	0.400177284	178	178
NR1H3	0.001447982	0.984691158	0.992537923	178	178
PHLPP1	0.349587415	1.73E-06	4.41E-05	178	178
NR1I2	-0.099455384	0.18637809	0.388892703	178	177
NR1I3	-0.08162323	0.278752552	0.496000447	178	177
NR2C1	-0.085028763	0.2588464	0.474148097	178	178
NR2C2AP	-0.169339476	0.023839985	0.098374763	178	178
NR2C2	0.110097795	0.143470017	0.330221822	178	178
NR2E1	0.147003714	0.050217382	0.165748373	178	91
NR2E3	0.190005219	0.011075398	0.056546586	178	171
NR2F1	0.1494315	0.046578754	0.157175475	178	178
NR2F2	0.238802207	0.001326677	0.011748194	178	178
NR2F6	-0.074817393	0.320930319	0.539540564	178	178
NR3C1	0.167749905	0.025313017	0.102611643	178	178
NR3C2	0.205299549	0.006055537	0.036652034	178	178
NR4A1	-0.143441685	0.056172952	0.178579414	178	178
NR4A2	-0.081415724	0.279688654	0.496961682	178	178
NR4A3	-0.00504187	0.946702884	0.973861886	178	178
NR5A1	0.020607828	0.784826567	0.88889172	178	89
SPATA21	0.349672672	1.72E-06	4.38E-05	178	97
TUSC3	0.352082976	1.69E-06	4.33E-05	178	178
NRADDP	0.014399052	0.848710687	0.923308478	178	174
ITPR2	0.35227448	1.67E-06	4.27E-05	178	178
NRARP	0.092028277	0.221800463	0.432618106	178	178
NRAS	-0.011372142	0.880244534	0.939534018	178	178
NRBF2	-0.154483356	0.039501825	0.140715022	178	178
NRBP1	0.000512805	0.994579634	0.997404284	178	178
NRBP2	0.010910399	0.884967623	0.941560424	178	178
BICC1	0.352423428	1.65E-06	4.23E-05	178	177
NRD1	-0.111637334	0.137921471	0.322066506	178	178
NRF1	0.041410663	0.583121957	0.759145011	178	178
NRG1	0.071217081	0.344494361	0.56288477	178	178
MGAT4A	0.350214937	1.65E-06	4.23E-05	178	178
NRG3	0.19951624	0.007584579	0.042998124	178	176
GGTLC2	0.352561736	1.63E-06	4.20E-05	178	178
NRGN	0.088203471	0.24143683	0.454639737	178	178
NRIP1	0.156125622	0.037517675	0.135725305	178	178
NRIP2	0.112937254	0.133274367	0.315197624	178	178
NRIP3	-0.039577478	0.599920465	0.770813988	178	178
NRK	0.147603702	0.049349245	0.163675271	178	177
NRL	0.157027818	0.03641881	0.132574661	178	178
NRM	0.039729681	0.598517511	0.770377876	178	178
NRN1L	-0.017588777	0.81573942	0.906153098	178	165
NRN1	0.092549593	0.219182338	0.428950074	178	178
NRSN1	0.350991716	1.56E-06	4.02E-05	178	163
NRP2	-0.044061839	0.558873092	0.742336033	178	178
TMEM56	0.350986272	1.56E-06	4.02E-05	178	178
NRSN2	0.129425802	0.085098558	0.23561609	178	178
SLC16A11	0.351111813	1.55E-06	3.99E-05	178	178
NRXN1	0.204178297	0.006261832	0.03743477	178	178
GUCA2A	0.351179962	1.54E-06	3.97E-05	178	150
NRXN3	0.235835898	0.001569774	0.01327661	178	178
NSA2	0.124642526	0.097379307	0.257982104	178	178
NSD1	0.154206492	0.039861042	0.141502092	178	178
NSDHL	-0.048467516	0.520574999	0.7147018	178	178
NSFL1C	-0.153916945	0.040326672	0.14229472	178	178
NSF	0.13626462	0.069730462	0.206693174	178	178
NSL1	0.091890983	0.222263757	0.433222624	178	178
NSMAF	0.131921807	0.079201803	0.22432731	178	178
NSMCE1	0.015214979	0.840100785	0.918945115	178	178
NSMCE2	-0.015089438	0.841402756	0.919507896	178	178
NSMCE4A	0.075312192	0.317731382	0.536461259	178	178
C10orf11	0.353551172	1.52E-06	3.94E-05	178	178
NSUN3	0.039382783	0.601717255	0.772270186	178	178
NSUN4	-0.028419228	0.706497204	0.841278798	178	178
NSUN5P1	-0.138496631	0.065276444	0.19766867	178	178
NSUN5P2	-0.117954654	0.116797006	0.289018145	178	178
NSUN5	-0.125851062	0.094151209	0.251757404	178	178
NSUN6	0.035637798	0.636426059	0.796448889	178	178
NSUN7	0.244131336	0.001023431	0.009627648	178	178
TDRD6	0.353832045	1.49E-06	3.87E-05	178	177
NT5C1B	-0.025757085	0.732894337	0.857124001	178	156
NT5C2	0.027007359	0.720203388	0.850274561	178	178
NT5C3L	0.118565338	0.114905062	0.286359448	178	178
NT5C3	-0.096314875	0.200924177	0.407471953	178	178
NT5C	-0.111252079	0.13929431	0.324047728	178	178
NT5DC1	0.125610685	0.094786406	0.253113624	178	178
NT5DC2	-0.086699102	0.249581694	0.463989739	178	178
NT5DC3	-0.155327772	0.03842302	0.138065927	178	178
NT5E	-0.132765418	0.077284951	0.220715283	178	178
NT5M	-0.093457059	0.214457711	0.423729693	178	178
NTAN1	0.118527038	0.115023012	0.286492636	178	178
NTF3	-0.011067857	0.883319042	0.941205561	178	177
NTF4	-0.051740523	0.492775599	0.693045071	178	165
NTHL1	-0.149695429	0.046111916	0.156374039	178	178
NTM	-0.033092925	0.660711699	0.812444073	178	178
NTN1	0.175310143	0.019252422	0.084356594	178	178
NTN3	0.023109119	0.759465436	0.87281585	178	118
NPY	0.351831445	1.47E-06	3.80E-05	178	161
NTN5	-0.046548271	0.537240904	0.726164358	178	176
NTNG1	0.090459153	0.229814644	0.44149954	178	175
NTNG2	-0.083615935	0.267145293	0.483261461	178	177
NTRK1	0.23147399	0.001878338	0.01517249	178	176
OR10G7	0.351889974	1.46E-06	3.79E-05	178	12
NTRK3	0.101664062	0.17675013	0.376744322	178	178
NTSR1	9.58E-06	0.999909942	0.999960512	178	177
NTSR2	0.105599933	0.160653066	0.355222378	178	60
NTS	-0.046299903	0.539416891	0.72768656	178	166
NUAK1	-0.024113523	0.749122352	0.867127869	178	178
ANKRD34C	0.352068773	1.44E-06	3.75E-05	178	149
NUB1	-0.130814206	0.0817765	0.22926615	178	178
NUBP1	0.243010232	0.001081366	0.010033826	178	178
NUBP2	-0.04983036	0.508541803	0.70526822	178	178
NUBPL	0.040302087	0.593254517	0.766533575	178	178
NUCB1	-0.086628004	0.2502337	0.464548699	178	178
ANGEL1	0.352448273	1.40E-06	3.65E-05	178	178
NUCKS1	-0.020472834	0.786202029	0.889787026	178	178
NUDCD1	0.044590626	0.554509763	0.738658629	178	178
NUDCD2	0.063801662	0.397504935	0.613699452	178	178
NUDCD3	-0.165741418	0.027035682	0.10778298	178	178
NUDC	-0.040133968	0.594798113	0.767574097	178	178
NUDT10	0.015735239	0.834863455	0.916123154	178	177
NUDT11	0.143445941	0.056165595	0.178579414	178	178
NUDT12	0.028337247	0.707042809	0.841573738	178	178
NUDT13	0.132958056	0.076852536	0.219893221	178	178
NUDT14	0.13953288	0.063274799	0.193876347	178	178
NUDT15	-0.179280753	0.016643709	0.076131472	178	178
NUDT16L1	-0.102087498	0.174947147	0.374313448	178	178
NUDT16P1	0.042321304	0.574858888	0.753397379	178	178
NUDT16	-0.018205698	0.809397749	0.902963673	178	178
NUDT17	0.098940452	0.188677098	0.391525125	178	178
NUDT18	-0.057517172	0.445701969	0.65712129	178	178
NUDT19	-0.060739726	0.420586733	0.634733566	178	178
ADCYAP1	0.35514491	1.36E-06	3.54E-05	178	177
NUDT21	-0.008218715	0.913297159	0.956134673	178	178
NUDT22	-0.010450795	0.88988285	0.943990189	178	178
NUDT2	-0.032361007	0.668054053	0.817988076	178	178
NUDT3	0.100518391	0.181870414	0.38380008	178	178
NUDT4	0.202107819	0.006904943	0.040111147	178	178
NUDT5	-0.093274166	0.21558008	0.425012301	178	178
NUDT6	0.089037576	0.237001846	0.450016756	178	178
LEFTY2	0.352911824	1.35E-06	3.54E-05	178	171
NUDT8	-0.032113081	0.670448	0.819252268	178	178
NUDT9P1	0.062268864	0.408963539	0.623936811	178	175
KCNV1	0.352942991	1.35E-06	3.53E-05	178	82
PRODH2	0.352989186	1.35E-06	3.53E-05	178	116
NUFIP1	-0.040918006	0.587615042	0.762341241	178	178
NUFIP2	0.014864968	0.843876797	0.921196478	178	178
NUMA1	-0.012053051	0.873132667	0.936195931	178	178
NUMBL	-0.043902252	0.56029895	0.743131762	178	178
NUMB	0.094067743	0.211467633	0.420299626	178	178
NUP107	-0.186664298	0.012601593	0.062094168	178	178
NUP133	-0.050128361	0.506369167	0.704109135	178	178
NUP153	0.098802144	0.189298125	0.392243647	178	178
NUP155	-0.133866494	0.074863285	0.216412187	178	178
NUP160	0.089505697	0.234538036	0.447573356	178	178
NUP188	-0.197674716	0.008171999	0.045429607	178	178
NUP205	-0.133426035	0.075831898	0.218045652	178	178
NUP210L	0.132322936	0.07828563	0.222736698	178	111
NUP210	0.076601571	0.309493067	0.528446395	178	178
NUP214	-0.0059462	0.937212398	0.968706218	178	178
NUP35	0.068327501	0.364461517	0.58260455	178	178
NUP37	-0.156799328	0.036602332	0.133123854	178	178
NUP43	0.11705033	0.119643204	0.293148156	178	178
NUP50	-0.046236471	0.539619859	0.727761771	178	178
NUP54	-0.046606761	0.536729099	0.725843332	178	178
NUP62CL	-0.048655803	0.518595198	0.713595001	178	178
NUP62	-0.171883287	0.021781668	0.092209527	178	178
NUP85	-0.100570362	0.181470678	0.383407267	178	178
NUP88	0.036621954	0.627450534	0.790079031	178	178
NUP93	-0.133030402	0.076690647	0.219646844	178	178
NUP98	-0.042910734	0.569539908	0.749260246	178	178
NUPL1	-0.160437735	0.03241107	0.121820281	178	178
NUPL2	-0.110167954	0.143213523	0.329820329	178	178
CLMN	0.353040683	1.34E-06	3.52E-05	178	178
NUS1	0.088126869	0.241847015	0.455065059	178	178
NUSAP1	-0.226041541	0.002466399	0.018808551	178	178
NUTF2	-0.175384617	0.019200407	0.08416512	178	178
NVL	-0.051663587	0.493419879	0.693701358	178	178
NWD1	0.220547509	0.003153044	0.022549114	178	178
NXF1	0.111096689	0.139748034	0.324586366	178	178
NXF2B	0.098591643	0.190432186	0.394097467	178	49
NXF2	0.006471446	0.93167909	0.965697258	178	84
NXF3	0.092855524	0.217656189	0.427104643	178	171
NXF4	-0.003251549	0.965641302	0.983395536	178	18
NXF5	-0.0917711	0.223100192	0.434211043	178	48
NXNL1	-0.001716428	0.981858717	0.991466461	178	30
NXNL2	0.121885994	0.105070424	0.270917012	178	170
NXN	0.091963329	0.221898756	0.432709397	178	178
NXPH1	0.078444736	0.297961577	0.516832652	178	110
ATP2B2	0.35334465	1.31E-06	3.44E-05	178	175
NXPH3	-0.035916543	0.633788847	0.794707715	178	178
FIGN	0.355842835	1.29E-06	3.39E-05	178	178
P2RY12	0.353807264	1.27E-06	3.34E-05	178	175
NXT2	0.078660197	0.296326413	0.514944941	178	178
NYNRIN	0.142399054	0.057999536	0.182247389	178	178
NYX	-0.11396069	0.129860502	0.309120207	178	16
OAF	0.157817239	0.035479774	0.129969814	178	178
OAS1	-0.104710092	0.16422803	0.359747985	178	178
OAS2	-0.080888025	0.282825031	0.500230963	178	178
OAS3	-0.007791014	0.917720299	0.958333397	178	178
OASL	-0.140488271	0.061474256	0.189521662	178	178
OAT	-0.181025375	0.015701879	0.073021862	178	178
OAZ1	-0.12425207	0.098440791	0.259646286	178	178
OAZ2	0.149797644	0.045961709	0.156105604	178	178
OAZ3	0.004958888	0.947621366	0.974489058	178	178
OBFC1	0.055990399	0.457524048	0.667238036	178	178
OBFC2A	-0.057616085	0.444918695	0.65665191	178	178
OBFC2B	-0.089381314	0.235436604	0.448163593	178	178
OBP2A	-0.073434064	0.329984004	0.548973894	178	144
OBP2B	-0.125974514	0.093826305	0.251092348	178	80
OBSCN	0.102902508	0.171672449	0.370350038	178	178
OBSL1	0.232597356	0.001826358	0.014854077	178	178
OC90	-0.081978612	0.276657957	0.493650463	178	9
OCA2	-0.184512046	0.013679869	0.065993104	178	168
OCEL1	-0.103751509	0.168145291	0.365374174	178	178
OCIAD1	-0.016988526	0.821921234	0.909540036	178	178
OCIAD2	-0.123963619	0.099205456	0.261323069	178	178
OCLM	-0.005761404	0.939159897	0.969762356	178	164
OCLN	0.228441844	0.002162328	0.016974143	178	178
OCM2	-0.039799008	0.597878964	0.769961292	178	6
OCM	-0.083460094	0.268040988	0.484217293	178	143
OCRL	0.001608634	0.982997839	0.991775054	178	178
ODAM	0.114979476	0.126442277	0.303504441	178	168
ODC1	0.139448979	0.063388731	0.194092408	178	178
ODF1	-0.010717144	0.887094817	0.942782593	178	37
ODF2L	-0.134774081	0.072871496	0.212687966	178	178
CD36	0.356255632	1.25E-06	3.30E-05	178	178
ODF3B	-0.015203292	0.840370322	0.919019044	178	178
ODF3L1	-0.193871026	0.009607676	0.051015626	178	177
ODF3L2	0.113654735	0.130900804	0.310960175	178	161
ODF3	0.111421405	0.138689647	0.323245528	178	52
ODF4	0.085971856	0.253853034	0.468407283	178	18
ODZ1	-0.00012235	0.998706748	0.999744837	178	175
ODZ2	0.138675368	0.064927536	0.197125727	178	177
ODZ3	-0.000679839	0.99281412	0.99664506	178	178
ODZ4	-0.160087624	0.032892726	0.123172228	178	178
OFD1	-0.018485449	0.8065261	0.901340538	178	178
DPYSL5	0.354088034	1.24E-06	3.28E-05	178	152
OGDH	-0.136179507	0.069906805	0.20706069	178	178
OGFOD1	-0.140604312	0.061208026	0.189025069	178	178
OGFOD2	-0.032330119	0.668352121	0.818125223	178	178
OGFRL1	0.226211767	0.002447482	0.018693129	178	178
OGFR	-0.153904178	0.04034341	0.142322681	178	178
OGG1	-0.096604208	0.199568127	0.405618269	178	178
FZD9	0.354148259	1.24E-06	3.27E-05	178	168
OGT	0.073966225	0.32615458	0.544987381	178	178
OIP5	-0.184570324	0.013750975	0.066223035	178	178
OIT3	0.112236191	0.135808027	0.319166619	178	166
OLA1	0.026858426	0.721933626	0.851456252	178	178
OLAH	0.015439359	0.837925524	0.917601999	178	157
NRP1	0.35647267	1.23E-06	3.27E-05	178	178
OLFM2	0.171277831	0.022362061	0.093822915	178	178
SLCO2A1	0.356447136	1.24E-06	3.27E-05	178	178
OXER1	0.356632256	1.22E-06	3.24E-05	178	178
OLFML1	0.045855591	0.542968026	0.730682574	178	178
OLFML2A	-0.038203949	0.612324356	0.780010425	178	178
OLFML2B	0.02694778	0.720794948	0.850620631	178	178
OLFML3	0.023543268	0.754864153	0.870120213	178	178
OLIG1	0.172595761	0.021233408	0.090507027	178	155
OLIG2	0.01984612	0.792596272	0.893366063	178	100
OLIG3	0.189409887	0.011334804	0.05749985	178	108
OLR1	0.233456995	0.001754758	0.014421692	178	178
OMA1	0.049906988	0.508250912	0.70517496	178	178
OMD	0.152814815	0.041708557	0.145776169	178	176
OMG	-0.041062405	0.586296463	0.761573032	178	170
OMP	-0.059536401	0.429867108	0.6438564	178	149
VAT1L	0.354516328	1.20E-06	3.20E-05	178	178
EFCAB6	0.357119527	1.18E-06	3.13E-05	178	178
ONECUT3	-0.051808592	0.492205946	0.692682398	178	153
OOEP	0.206092335	0.005781288	0.035458806	178	132
OPA1	-0.036521927	0.628391616	0.790697793	178	178
OPA3	0.081207284	0.281217661	0.49856771	178	178
OPALIN	-0.004468721	0.952792465	0.977002603	178	21
OPCML	-0.111820386	0.137272806	0.321367305	178	175
OPHN1	0.090166481	0.231331758	0.443530903	178	178
OPLAH	-0.071723541	0.341403569	0.560381353	178	178
OPN1LW	0.014333924	0.849386842	0.923352139	178	39
OPN1MW	0.104524018	0.164983044	0.360842242	178	21
OPN1SW	-0.163276582	0.029430676	0.1140655	178	164
OPN3	-0.036929385	0.624245346	0.788239302	178	178
OPN4	0.016823323	0.823624564	0.910290467	178	113
OPN5	0.026402586	0.726463506	0.854200474	178	39
OPRD1	0.074033915	0.326038123	0.544868531	178	78
OPRK1	-0.060229469	0.424507654	0.638780484	178	104
OPRL1	0.2224181	0.002845157	0.020860267	178	178
OPRM1	0.165124166	0.027619222	0.109455078	178	74
OPTC	0.00776906	0.918023696	0.958498367	178	45
OPTN	0.06916799	0.358580922	0.577152705	178	178
OR10A2	0.069006446	0.360051934	0.578449059	178	13
OR10A3	-0.051864735	0.491736363	0.692267895	178	20
OR10A4	-0.054339871	0.471273146	0.678338109	178	15
OR10A5	0.080338841	0.286411663	0.504543806	178	7
